VNET,NET,STA,SITE DESCRIPTION,LAT,LON,ELEV,START,END,STATUS,INSTALL,CERT
_US-FA,5A,NE030,NE030,40.21,-117.46,1546,2011/06/09,2011/12/01,Ended,,
_US-FA,5A,NE040,NE040,40.21,-117.47,1496,2011/06/09,2011/12/01,Ended,,
_US-FA,5A,NE050,NE050,40.21,-117.47,1451,2011/06/09,2011/12/01,Ended,,
_US-FA,5A,NE060,NE060,40.21,-117.48,1415,2011/06/09,2011/12/01,Ended,,
_US-FA,5A,NE070,NE070,40.22,-117.49,1389,2011/06/09,2011/12/01,Ended,,
_US-FA,5A,NE080,NE080,40.22,-117.49,1385,2011/06/09,2011/12/01,Ended,,
_US-FA,5A,NE090,NE090,40.22,-117.5,1365,2011/06/09,2011/12/01,Ended,,
_US-FA,5A,NE100,NE100,40.22,-117.5,1341,2011/06/09,2011/12/01,Ended,,
_US-FA,5A,NE110,NE110,40.22,-117.51,1364,2011/06/09,2011/12/01,Ended,,
_US-FA,5A,NE120,NE120,40.22,-117.51,1366,2011/06/09,2011/12/01,Ended,,
_US-FA,5A,NE130,NE130,40.23,-117.52,1422,2011/06/09,2011/12/01,Ended,,
_US-FA,5A,NE140,NE140,40.23,-117.52,1452,2011/06/09,2011/12/01,Ended,,
_US-FA,5A,NE150,NE150,40.23,-117.53,1461,2011/06/09,2011/12/01,Ended,,
_US-FA,5A,NE160,NE160,40.23,-117.54,1455,2011/06/09,2011/12/01,Ended,,
_US-FA,5A,NE170,NE170,40.23,-117.54,1482,2011/06/09,2011/12/01,Ended,,
_US-FA,5A,NE180,NE180,40.24,-117.55,1521,2011/06/09,2011/12/01,Ended,,
_US-FA,5A,NE190,NE190,40.24,-117.55,1569,2011/06/09,2011/12/01,Ended,,
_US-FA,5A,NE200,NE200,40.24,-117.56,1613,2011/06/09,2011/12/01,Ended,,
_US-FA,5A,NE210,NE210,40.25,-117.56,1730,2011/06/09,2011/12/01,Ended,,
_US-FA,5A,NE240,NE240,40.27,-117.59,2204,2011/06/09,2011/12/01,Ended,,
_US-FA,5A,NE250,NE250,40.27,-117.6,1925,2011/06/09,2011/12/01,Ended,,
_US-FA,5A,NE260,NE260,40.27,-117.6,1823,2011/06/09,2011/12/01,Ended,,
_US-FA,5A,NE270,NE270,40.27,-117.61,1756,2011/06/09,2011/12/01,Ended,,
_US-FA,5A,NE280,NE280,40.27,-117.62,1695,2011/06/09,2011/12/01,Ended,,
_US-FA,5A,NE290,NE290,40.26,-117.62,1593,2011/06/09,2011/12/01,Ended,,
_US-FA,5A,NE300,NE300,40.26,-117.63,1542,2011/06/09,2011/12/01,Ended,,
_US-FA,5A,NV000,NV000,40.27,-117.64,1505,2011/06/09,2011/12/01,Ended,,
_US-FA,5A,NV010,NV010,40.27,-117.64,1427,2010/11/07,2011/05/31,Ended,,
_US-FA,5A,NV020,NV020,40.27,-117.65,1414,2010/11/07,2011/05/31,Ended,,
_US-FA,5A,NV030,NV030,40.27,-117.65,1371,2010/11/07,2011/05/11,Ended,,
_US-FA,5A,NV040,NV040,40.27,-117.66,1342,2010/11/07,2011/05/31,Ended,,
_US-FA,5A,NV050,NV050,40.28,-117.67,1324,2010/11/07,2011/05/31,Ended,,
_US-FA,5A,NV060,NV060,40.28,-117.67,1341,2010/11/07,2011/05/31,Ended,,
_US-FA,5A,NV070,NV070,40.28,-117.68,1356,2010/11/07,2011/05/31,Ended,,
_US-FA,5A,NV080,NV080,40.28,-117.68,1371,2010/11/07,2011/05/31,Ended,,
_US-FA,5A,NV090,NV090,40.28,-117.69,1396,2010/11/07,2011/05/31,Ended,,
_US-FA,5A,NV100,NV100,40.28,-117.69,1416,2010/11/07,2011/05/31,Ended,,
_US-FA,5A,NV110,NV110,40.28,-117.7,1440,2010/11/07,2011/05/31,Ended,,
_US-FA,5A,NV120,NV120,40.29,-117.71,1469,2010/11/07,2011/05/31,Ended,,
_US-FA,5A,NV130,NV130,40.29,-117.71,1511,2010/11/07,2011/05/31,Ended,,
_US-FA,5A,NV140,NV140,40.29,-117.72,1533,2010/11/07,2011/05/31,Ended,,
_US-FA,5A,NV150,NV150,40.29,-117.72,1574,2010/11/07,2011/05/31,Ended,,
_US-FA,5A,NV160,NV160,40.3,-117.73,1600,2010/11/07,2011/05/31,Ended,,
_US-FA,5A,NV170,NV170,40.3,-117.73,1645,2010/11/07,2011/05/31,Ended,,
_US-FA,5A,NV180,NV180,40.3,-117.74,1876,2010/11/07,2011/05/31,Ended,,
_US-FA,5A,NV190,NV190,40.3,-117.76,2032,2010/11/07,2011/05/31,Ended,,
_US-FA,5A,NV200,NV200,40.31,-117.77,1866,2010/11/07,2011/05/31,Ended,,
_US-FA,5A,NV210,NV210,40.31,-117.78,1790,2010/11/07,2011/05/31,Ended,,
_US-FA,5A,NV220,NV220,40.32,-117.79,1740,2010/11/07,2011/05/31,Ended,,
_US-FA,5A,NV230,NV230,40.32,-117.8,1644,2010/11/07,2011/05/31,Ended,,
_US-FA,5A,NV240,NV240,40.33,-117.81,1582,2010/11/07,2011/05/31,Ended,,
_US-FA,5A,NV250,NV250,40.33,-117.82,1521,2010/11/07,2011/05/31,Ended,,
_US-FA,5A,NV260,NV260,40.33,-117.84,1453,2010/11/07,2011/05/31,Ended,,
_US-FA,5A,NV270,NV270,40.33,-117.85,1417,2010/11/07,2011/05/31,Ended,,
_US-FA,5A,NV280,NV280,40.33,-117.86,1368,2010/11/07,2011/05/31,Ended,,
_US-FA,5A,NV290,NV290,40.34,-117.87,1328,2010/11/07,2011/05/31,Ended,,
_US-FA,5A,NV300,NV300,40.34,-117.88,1299,2010/11/07,2011/05/31,Ended,,
_US-FA,5A,NV310,NV310,40.34,-117.89,1275,2010/11/07,2011/05/31,Ended,,
_US-FA,5A,NV320,NV320,40.34,-117.9,1259,2010/11/07,2011/05/31,Ended,,
_US-FA,5A,NV330,NV330,40.34,-117.91,1251,2010/11/07,2011/05/31,Ended,,
_US-FA,5A,NV340,NV340,40.34,-117.93,1248,2011/06/09,2011/12/01,Ended,,
_US-FA,5A,NV350,NV350,40.34,-117.94,1243,2011/06/09,2011/12/01,Ended,,
_US-FA,5A,NV360,NV360,40.34,-117.95,1241,2011/06/09,2011/12/01,Ended,,
